ZL_DIVN_NBR,LOC_NBR,RDS_SKU_NBR,ZL_MSTSTYL_NBR,NSL_QTY
71,5043,65789,489,0
71,5429,65789,489,0
71,5040,65797,489,0
71,5040,66027,489,0
71,5031,66175,489,0
71,5038,66175,489,0
71,5040,66175,489,0
71,5043,66175,489,0
71,5429,66175,489,0
71,5429,66183,475,0
71,5429,66191,475,0
71,5031,68163,590,0
71,5035,68163,590,0
71,5037,68163,590,0
71,5038,68163,590,0
71,5040,68163,590,0
71,5043,68163,590,0
71,5044,68163,590,0
71,5045,68163,590,0
71,5429,68163,590,0
71,5040,68601,572,0
71,5031,71464,39,2
71,5038,71464,39,0
71,5040,71464,39,0
71,5429,71464,39,0
71,5031,71480,39,0
71,5040,71480,39,0
71,5031,71506,461,0
71,5035,71506,461,0
71,5037,71506,461,0
71,5038,71506,461,0
71,5040,71506,461,0
71,5043,71506,461,0
71,5044,71506,461,0
71,5045,71506,461,0
71,5429,71506,461,0
71,5031,71589,227,1
71,5038,71589,227,0
71,5040,71589,227,0
71,5429,71589,227,0
